Id,Name,Cost,Tags,Description,Effects
strike,Strike,1,"[""attack""]",Deal 6 damage.,"[{""Operation"": ""damage"", ""Amount"": 6}]"
defend,Defend,1,"[""skill""]",Gain 5 block.,"[{""Operation"": ""block"", ""Amount"": 5}]"
technique,Footwork,1,"[""skill"", ""shared""]",Gain 3 block. Draw 1.,"[{""Operation"": ""block"", ""Amount"": 3}, {""Operation"": ""draw"", ""Amount"": 1}]"
cleave,Cleave,2,"[""attack"", ""reaver""]",Deal 15 damage.,"[{""Operation"": ""damage"", ""Amount"": 15}]"
rage,Battle Cry,1,"[""skill"", ""reaver""]",Gain 2 strength. Draw 1.,"[{""Operation"": ""strength"", ""Amount"": 2}, {""Operation"": ""draw"", ""Amount"": 1}]"
venom,Venom Edge,1,"[""attack"", ""poison"", ""rogue""]",Deal 3 damage. Apply 3 poison.,"[{""Operation"": ""damage"", ""Amount"": 3}, {""Operation"": ""poison"", ""Amount"": 3}]"
quickstep,Quickstep,0,"[""skill"", ""rogue""]",Gain 4 block.,"[{""Operation"": ""block"", ""Amount"": 4}]"
smite,Smite,1,"[""attack"", ""faith"", ""herald""]",Deal 5 damage. Recover 2 vitality.,"[{""Operation"": ""damage"", ""Amount"": 5}, {""Operation"": ""heal"", ""Amount"": 2}]"
prayer,Golden Prayer,1,"[""skill"", ""faith"", ""herald""]",Recover 5 vitality. Gain 3 block.,"[{""Operation"": ""heal"", ""Amount"": 5}, {""Operation"": ""block"", ""Amount"": 3}]"
starbolt,Star Bolt,1,"[""attack"", ""magic"", ""starseer""]",Deal 8 damage.,"[{""Operation"": ""damage"", ""Amount"": 8}]"
insight,Insight,1,"[""skill"", ""magic"", ""starseer""]",Draw 2. Gain 2 block.,"[{""Operation"": ""draw"", ""Amount"": 2}, {""Operation"": ""block"", ""Amount"": 2}]"
meteor,Falling Star,2,"[""attack"", ""magic"", ""starseer""]",Deal 18 damage.,"[{""Operation"": ""damage"", ""Amount"": 18}]"
bulwark,Bulwark,2,"[""skill"", ""shared""]",Gain 14 block.,"[{""Operation"": ""block"", ""Amount"": 14}]"
rupture,Rupture,2,"[""attack"", ""poison"", ""rogue""]",Deal 8 damage. Apply 5 poison.,"[{""Operation"": ""damage"", ""Amount"": 8}, {""Operation"": ""poison"", ""Amount"": 5}]"
feint,Feint,1,"[""attack"", ""rogue""]",Deal 4 damage. Weaken for 2 turns.,"[{""Operation"": ""damage"", ""Amount"": 4}, {""Operation"": ""weak"", ""Amount"": 2}]"
renewal,Renewal,1,"[""skill"", ""faith"", ""herald""]",Recover 8 vitality.,"[{""Operation"": ""heal"", ""Amount"": 8}]"
tempo,Second Wind,0,"[""skill"", ""shared""]",Gain 1 energy.,"[{""Operation"": ""energy"", ""Amount"": 1}]"
warding,Warding Blow,1,"[""attack"", ""skill"", ""shared""]",Deal 5 damage. Gain 5 block.,"[{""Operation"": ""damage"", ""Amount"": 5}, {""Operation"": ""block"", ""Amount"": 5}]"
bloodrush,Bloodrush,1,"[""attack"", ""reaver""]",Deal 4 damage. Gain 1 strength.,"[{""Operation"": ""damage"", ""Amount"": 4}, {""Operation"": ""strength"", ""Amount"": 1}]"
sunder,Sundering Blow,2,"[""attack"", ""reaver""]",Deal 12 damage. Weaken for 1 turns.,"[{""Operation"": ""damage"", ""Amount"": 12}, {""Operation"": ""weak"", ""Amount"": 1}]"
smokeveil,Smoke Veil,1,"[""skill"", ""rogue""]",Gain 7 block. Weaken for 1 turns.,"[{""Operation"": ""block"", ""Amount"": 7}, {""Operation"": ""weak"", ""Amount"": 1}]"
sunward,Sunward Strike,2,"[""attack"", ""faith"", ""herald""]",Deal 8 damage. Gain 8 block.,"[{""Operation"": ""damage"", ""Amount"": 8}, {""Operation"": ""block"", ""Amount"": 8}]"
benediction,Benediction,1,"[""skill"", ""faith"", ""herald""]",Recover 3 vitality. Draw 1.,"[{""Operation"": ""heal"", ""Amount"": 3}, {""Operation"": ""draw"", ""Amount"": 1}]"
constellation,Constellation,1,"[""skill"", ""magic"", ""starseer""]",Gain 6 block. Draw 1.,"[{""Operation"": ""block"", ""Amount"": 6}, {""Operation"": ""draw"", ""Amount"": 1}]"
prismLance,Prism Lance,2,"[""attack"", ""magic"", ""starseer""]",Deal 5 damage. Deal 5 damage.,"[{""Operation"": ""damage"", ""Amount"": 5}, {""Operation"": ""damage"", ""Amount"": 5}]"
