id,name,class,rarity,cost,type,keywords,icon,effects,textTemplate,upgrade,damageSchool,exposureBuildupPerHit,staminaCost,manaCost,flavor
"""strike""","""Strike""","""colorless""","""starter""",1,"""attack""",[],"""⚔""","[{""op"":""damage"",""target"":""enemy"",""amount"":6}]","""Deal {damage} damage.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":9}]}","""physical""",0,,,
"""defend""","""Defend""","""colorless""","""starter""",1,"""skill""",[],"""🛡""","[{""op"":""block"",""target"":""self"",""amount"":5}]","""Gain {block} Block.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":8}]}",,,,,
"""technique""","""Footwork""","""colorless""","""starter""",1,"""skill""",[],"""✧""","[{""op"":""block"",""target"":""self"",""amount"":3},{""op"":""draw"",""amount"":1}]","""Gain {block} Block. Draw {draw} card.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":5},{""op"":""draw"",""amount"":1}]}",,,,,
"""evasiveGuard""","""Evasive Guard""","""colorless""","""starter""",1,"""skill""",[],"""🌀""","[{""op"":""block"",""target"":""self"",""amount"":1},{""op"":""dodgeRoll"",""target"":""self""}]","""Gain {block} Block, then roll to evade: on a success, gain Block equal to the dodge.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":3},{""op"":""dodgeRoll"",""target"":""self""}]}",,,,,
"""dodgeRoll""","""Dodge Roll""","""colorless""","""starter""",0,"""skill""",[],"""💨""","[{""op"":""dodgeRoll"",""target"":""self""}]","""Roll to evade: on a success, gain Block from the dodge. Light: 1 Stamina. Medium: 2 Stamina, 1 Energy. Heavy: 3 Stamina, 2 Energy.""",,,,1,,
"""gorefireSlash""","""Gorefire Slash""","""reaver""","""starter""",1,"""attack""",[],"""🗡""","[{""op"":""damage"",""target"":""enemy"",""amount"":5},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":3}]","""Deal {damage} damage. Apply {bleed} Bleed.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":5},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":5}]}","""physical""",0,,1,
"""crimsonCleave""","""Crimson Cleave""","""reaver""","""common""",2,"""attack""",[],"""🪓""","[{""op"":""damage"",""target"":""allEnemies"",""amount"":8},{""op"":""applyStatus"",""target"":""allEnemies"",""status"":""bleed"",""stacks"":2}]","""Deal {damage} damage to ALL enemies. Apply {bleed} Bleed to ALL.""","{""effects"":[{""op"":""damage"",""target"":""allEnemies"",""amount"":11},{""op"":""applyStatus"",""target"":""allEnemies"",""status"":""bleed"",""stacks"":2}]}","""physical""",0,,,
"""shieldBash""","""Shield Bash""","""reaver""","""common""",1,"""attack""",[],"""🛡""","[{""op"":""damage"",""target"":""enemy"",""amount"":5},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":4}]","""Deal {damage} damage and {poiseDamage} Poise damage.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":8},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":5}]}","""physical""",0,,,
"""quickstep""","""Quickstep""","""reaver""","""common""",1,"""skill""",[],"""👣""","[{""op"":""block"",""target"":""self"",""amount"":6},{""op"":""draw"",""amount"":1}]","""Gain {block} Block. Draw {draw} card.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":8},{""op"":""draw"",""amount"":1}]}",,,,,
"""guardCounter""","""Guard Counter""","""reaver""","""common""",1,"""attack""",[],"""↩""","[{""op"":""damage"",""target"":""enemy"",""amount"":4,""if"":{""p"":""not"",""pred"":{""p"":""hasBlock"",""of"":""self""}}},{""op"":""damage"",""target"":""enemy"",""amount"":10,""if"":{""p"":""hasBlock"",""of"":""self""}}]","""Deal {damage} damage. If you have Block: deal {damage.2} instead.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":6,""if"":{""p"":""not"",""pred"":{""p"":""hasBlock"",""of"":""self""}}},{""op"":""damage"",""target"":""enemy"",""amount"":14,""if"":{""p"":""hasBlock"",""of"":""self""}}]}","""physical""",0,,,
"""ironResolve""","""Iron Resolve""","""reaver""","""common""",1,"""skill""",[],"""⛨""","[{""op"":""block"",""target"":""self"",""amount"":5,""if"":{""p"":""not"",""pred"":{""p"":""inStance"",""stance"":""bulwark""}}},{""op"":""block"",""target"":""self"",""amount"":9,""if"":{""p"":""inStance"",""stance"":""bulwark""}}]","""Gain {block} Block. If in Bulwark Stance: gain {block.2} instead.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":7,""if"":{""p"":""not"",""pred"":{""p"":""inStance"",""stance"":""bulwark""}}},{""op"":""block"",""target"":""self"",""amount"":12,""if"":{""p"":""inStance"",""stance"":""bulwark""}}]}",,,,,
"""serratedBlade""","""Serrated Blade""","""reaver""","""common""",1,"""attack""",[],"""🪚""","[{""op"":""damage"",""target"":""enemy"",""amount"":7},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":3,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""bleed""}}]","""Deal {damage} damage. If the target has Bleed: apply {bleed} more Bleed.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":9},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":4,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""bleed""}}]}","""physical""",0,,,
"""enterGorefire""","""Enter: Gorefire""","""reaver""","""common""",1,"""skill""",[],"""🔥""","[{""op"":""enterStance"",""stance"":""gorefire""},{""op"":""draw"",""amount"":1}]","""Enter Gorefire Stance. Draw {draw} card.""","{""cost"":0}",,,,,
"""enterBulwark""","""Enter: Bulwark""","""reaver""","""common""",1,"""skill""",[],"""🛡""","[{""op"":""enterStance"",""stance"":""bulwark""}]","""Enter Bulwark Stance.""","{""effects"":[{""op"":""enterStance"",""stance"":""bulwark""},{""op"":""block"",""target"":""self"",""amount"":3}],""textTemplate"":""Enter Bulwark Stance. Gain {block} extra Block.""}",,,,,
