# Explicit damage carriers. Tags never imply a school or buildup.
cardId,damageSchool,exposureBuildupPerHit
strike,physical,0
ambush,physical,0
rogueShiv,physical,0
quickCut,physical,0
twinPrick,physical,0
hamstringRogue,physical,0
serratedShiv,physical,0
ricochet,physical,0
lowBlow,physical,0
cheapShot,physical,0
bladeDanceRogue,physical,0
garrote,physical,0
fanOfKnives,physical,0
coupDeGrace,physical,0
sap,physical,0
assassinate,physical,0
thousandCutsRogue,physical,0
deathblow,physical,0
gorefireSlash,physical,0
crimsonCleave,physical,0
shieldBash,physical,0
guardCounter,physical,0
serratedBlade,physical,0
riposte,physical,0
rend,physical,0
cleavingBlow,physical,0
stomp,physical,0
twinbladeFlurry,physical,0
kickOff,physical,0
impale,physical,0
executioner,physical,0
stitchedArms,physical,0
ruinousBlow,physical,0
bloodhuntersStrike,physical,0
goreslash,physical,0
flameToBlade,physical,0
bloodTithe,physical,0
poiseBreaker,physical,0
sunderplate,physical,0
starstonePebble,magic,1
cometFragment,magic,1
starbladePhalanx,magic,1
starShower,magic,1
starSlicer,magic,1
starlance,magic,1
frostNova,magic,1
starstoneArc,magic,1
moonrendCut,magic,1
meteorite,magic,1
meteorSwarm,magic,1
astralCleave,magic,1
radiantSpray,magic,1
supernova,magic,1
starstoneKris,magic,1
starfallBeam,magic,1
starcaller,magic,1
shootingShard,magic,1
celestialLance,magic,1
starSpark,magic,1
blightTouch,arcane,1
flagellation,arcane,1
graveOffering,arcane,1
cullTheWeak,arcane,1
sacredHarvest,arcane,1
plagueBearer,arcane,1
exsanguinate,arcane,1
scourge,arcane,1
crimsonRite,arcane,1
blightNova,arcane,1
bloodHarvest,arcane,1
painOffering,arcane,1
witheringTouch,arcane,1
desperateRite,arcane,1
bloodOfferingRite,arcane,1
blightwardLash,arcane,1
twinFang,physical,0
bashingBlow,physical,0
sweepingBlow,physical,0
colossusSmash,physical,0
