# Per-item, per-tier Smithing changes. One row is one immutable numeric fact.
# Item refs are namespaced so repeated armour ids cannot collide:
#   armament/<id> | armor/<classId>/<id> | relic/<id>
# Tags are closed and validated at boot. A tier exists only when it has one
# upgrade:cost:smithing-stone row plus at least one gameplay change row.
itemRef,nextTier,tag,value
armament/straightSword,1,upgrade:cost:smithing-stone,1
armament/straightSword,1,card:attack:effect:damage,3
armament/straightSword,1,card:guard:effect:block,3
armament/straightSword,1,card:technique:effect:block,2
armament/straightSword,1,requirement:strength,-1
armament/greatsword,1,upgrade:cost:smithing-stone,1
armament/greatsword,1,card:attack:effect:damage,3
armament/greatsword,1,card:guard:effect:block,3
armament/greatsword,1,card:technique:effect:block,2
armament/dagger,1,upgrade:cost:smithing-stone,1
armament/dagger,1,card:attack:effect:damage,3
armament/dagger,1,card:guard:effect:block,3
armament/dagger,1,card:technique:effect:block,2
armament/shortbow,1,upgrade:cost:smithing-stone,1
armament/shortbow,1,card:attack:effect:damage,3
armament/shortbow,1,card:guard:effect:block,3
armament/shortbow,1,card:technique:effect:block,2
armament/katana,1,upgrade:cost:smithing-stone,1
armament/katana,1,card:attack:effect:damage,3
armament/katana,1,card:guard:effect:block,3
armament/katana,1,card:technique:effect:block,2
armament/halberd,1,upgrade:cost:smithing-stone,1
armament/halberd,1,card:attack:effect:damage,3
armament/halberd,1,card:guard:effect:block,3
armament/halberd,1,card:technique:effect:block,2
armament/warhammer,1,upgrade:cost:smithing-stone,1
armament/warhammer,1,card:attack:effect:damage,3
armament/warhammer,1,card:guard:effect:block,3
armament/warhammer,1,card:technique:effect:block,2
armament/twinblade,1,upgrade:cost:smithing-stone,1
armament/twinblade,1,card:attack:effect:damage,3
armament/twinblade,1,card:guard:effect:block,3
armament/twinblade,1,card:technique:effect:block,2
armament/battleaxe,1,upgrade:cost:smithing-stone,1
armament/battleaxe,1,card:attack:effect:damage,3
armament/battleaxe,1,card:guard:effect:block,3
armament/battleaxe,1,card:technique:effect:block,2
armament/buckler,1,upgrade:cost:smithing-stone,1
armament/buckler,1,card:attack:effect:damage,3
armament/buckler,1,card:guard:effect:block,3
armament/buckler,1,card:technique:effect:block,2
armament/kiteShield,1,upgrade:cost:smithing-stone,1
armament/kiteShield,1,card:attack:effect:damage,3
armament/kiteShield,1,card:guard:effect:block,3
armament/kiteShield,1,card:technique:effect:block,2
armament/towerShield,1,upgrade:cost:smithing-stone,1
armament/towerShield,1,card:attack:effect:damage,3
armament/towerShield,1,card:guard:effect:block,3
armament/towerShield,1,card:technique:effect:block,2
armament/roundShield,1,upgrade:cost:smithing-stone,1
armament/roundShield,1,card:attack:effect:damage,3
armament/roundShield,1,card:guard:effect:block,3
armament/roundShield,1,card:technique:effect:block,2
armament/spikedShield,1,upgrade:cost:smithing-stone,1
armament/spikedShield,1,card:attack:effect:damage,3
armament/spikedShield,1,card:guard:effect:block,3
armament/spikedShield,1,card:technique:effect:block,2
armament/lantern,1,upgrade:cost:smithing-stone,1
armament/lantern,1,card:attack:effect:damage,3
armament/lantern,1,card:guard:effect:block,3
armament/lantern,1,card:technique:effect:block,2
armament/torch,1,upgrade:cost:smithing-stone,1
armament/torch,1,card:attack:effect:damage,3
armament/torch,1,card:guard:effect:block,3
armament/torch,1,card:technique:effect:block,2
armament/parryDagger,1,upgrade:cost:smithing-stone,1
armament/parryDagger,1,card:attack:effect:damage,3
armament/parryDagger,1,card:guard:effect:block,3
armament/parryDagger,1,card:technique:effect:block,2
armament/ashStaff,1,upgrade:cost:smithing-stone,1
armament/ashStaff,1,card:attack:effect:damage,3
armament/ashStaff,1,card:guard:effect:block,3
armament/ashStaff,1,card:technique:effect:block,2
armament/starstoneStaff,1,upgrade:cost:smithing-stone,1
armament/starstoneStaff,1,card:attack:effect:damage,3
armament/starstoneStaff,1,card:guard:effect:block,3
armament/starstoneStaff,1,card:technique:effect:block,2
armament/boneSceptre,1,upgrade:cost:smithing-stone,1
armament/boneSceptre,1,card:attack:effect:damage,3
armament/boneSceptre,1,card:guard:effect:block,3
armament/boneSceptre,1,card:technique:effect:block,2
armament/emberlightSceptre,1,upgrade:cost:smithing-stone,1
armament/emberlightSceptre,1,card:attack:effect:damage,3
armament/emberlightSceptre,1,card:guard:effect:block,3
armament/emberlightSceptre,1,card:technique:effect:block,2
armament/goldboughBranch,1,upgrade:cost:smithing-stone,1
armament/goldboughBranch,1,card:attack:effect:damage,3
armament/goldboughBranch,1,card:guard:effect:block,3
armament/goldboughBranch,1,card:technique:effect:block,2
armament/blightRod,1,upgrade:cost:smithing-stone,1
armament/blightRod,1,card:attack:effect:damage,3
armament/blightRod,1,card:guard:effect:block,3
armament/blightRod,1,card:technique:effect:block,2
armament/gorefireBrand,1,upgrade:cost:smithing-stone,1
armament/gorefireBrand,1,card:attack:effect:damage,3
armament/gorefireBrand,1,card:guard:effect:block,3
armament/gorefireBrand,1,card:technique:effect:block,2
armament/wyrmhornStaff,1,upgrade:cost:smithing-stone,1
armament/wyrmhornStaff,1,card:attack:effect:damage,3
armament/wyrmhornStaff,1,card:guard:effect:block,3
armament/wyrmhornStaff,1,card:technique:effect:block,2
armor/reaver/default,1,upgrade:cost:smithing-stone,1
armor/reaver/default,1,equipment:poise-threshold,1
armor/reaver/vigil,1,upgrade:cost:smithing-stone,1
armor/reaver/vigil,1,equipment:poise-threshold,1
armor/reaver/oathsworn,1,upgrade:cost:smithing-stone,1
armor/reaver/oathsworn,1,equipment:poise-threshold,1
armor/reaver/warden,1,upgrade:cost:smithing-stone,1
armor/reaver/warden,1,equipment:poise-threshold,1
armor/starseer/default,1,upgrade:cost:smithing-stone,1
armor/starseer/default,1,equipment:poise-threshold,1
armor/starseer/eclipse,1,upgrade:cost:smithing-stone,1
armor/starseer/eclipse,1,equipment:poise-threshold,1
armor/starseer/starlit,1,upgrade:cost:smithing-stone,1
armor/starseer/starlit,1,equipment:poise-threshold,1
armor/starseer/astral,1,upgrade:cost:smithing-stone,1
armor/starseer/astral,1,equipment:poise-threshold,1
armor/herald/default,1,upgrade:cost:smithing-stone,1
armor/herald/default,1,equipment:poise-threshold,1
armor/herald/ossuary,1,upgrade:cost:smithing-stone,1
armor/herald/ossuary,1,equipment:poise-threshold,1
armor/herald/emberhabit,1,upgrade:cost:smithing-stone,1
armor/herald/emberhabit,1,equipment:poise-threshold,1
armor/herald/pilgrim,1,upgrade:cost:smithing-stone,1
armor/herald/pilgrim,1,equipment:poise-threshold,1
armor/rogue/default,1,upgrade:cost:smithing-stone,1
armor/rogue/default,1,equipment:poise-threshold,1
armor/rogue/nightveil,1,upgrade:cost:smithing-stone,1
armor/rogue/nightveil,1,equipment:poise-threshold,1
armor/rogue/duelist,1,upgrade:cost:smithing-stone,1
armor/rogue/duelist,1,equipment:poise-threshold,1
armor/rogue/shadow,1,upgrade:cost:smithing-stone,1
armor/rogue/shadow,1,equipment:poise-threshold,1
relic/curedHide,1,upgrade:cost:smithing-stone,1
relic/curedHide,1,relic:passive:poise-threshold-add,1
relic/ancestralHorn,1,upgrade:cost:smithing-stone,1
relic/ancestralHorn,1,relic:passive:power-cost-reduction,1
