# content/source/tagFamilies.csv — what can be tagged (Ashen Spire)
#
# One row per content family. Adding a family to the tag system is a row here,
# not a code change. Every family is tagged the same way — a row in tagging.csv
# — so there is no `home` column any more and no second place to look.
#
# source      where the family's objects live in the content bundle, dotted. The
#             validator walks it to check every tagged id is a real object. Empty
#             means the family is not a bundle collection: `effect` exists only to
#             declare which domains a damage effect's tags may draw from.
# scopeField  the field on the object that disambiguates its id, or empty when the
#             id is unique on its own. `armour` names classId because outfit ids
#             repeat across classes on purpose; tagging.csv rows for that family
#             must carry the matching scope.
#
# Which domains a family may carry is tagFamilyDomains.csv — one row per pair,
# because a family carrying two domains is two facts, not one cell.
#
# columns: family, source, scopeField, label, blurb
family,source,scopeField,label,blurb
card,cards,,Card,"Every playable card."
class,classes,,Class,"A class's identity in card terms — what it leans toward."
relic,relics,,Relic,"Permanent run pickups."
flask,flasks,,Flask,"Consumables, refilled at Grace."
keepsake,characterCreation.keepsakes,,Keepsake,"The boon you start the run holding."
event,events,,Event,"Unknown-node encounters."
encounter,encounters,,Encounter,"Authored fights."
enemy,enemies,,Enemy,"Creature identity; gates proc resistance at runtime."
armament,equipment.armaments,,Armament,"Weapons, shields and staves."
armour,equipment.armour,classId,Armour,"Armour sets. Ids repeat per class, so classId is part of the key."
basicCardProfile,equipment.basicCardProfiles,,Card profile,"Equipment-bound core card profiles."
slot,equipment.slots,,Slot,"What you can wear, and when you may swap."
startingKit,equipment.startingKits,,Starting kit,"A class's listed opening loadout."
unlock,unlocks,,Unlock,"What a run can earn."
effect,,,Effect,"Damage effects carry card tags; a hit inherits the card's identity."
grant,,,Grant,"Where a starting card comes from. No collection: like `effect`, this family exists only to declare a vocabulary — the order bound cards are dealt in."
