# content/source/weapons.csv — armaments (Ashen Spire)
#
# Weapon TYPES are generic fantasy categories (greatsword, katana, buckler),
# which no one owns — only specific named weapons are anyone's IP. Each row is
# one armament: how it looks (geom + scale + palette), what it grants (tags),
# and how it rewrites your starting cards (mods).
#
# hand   right | left | either   (all shipped armaments are `either`; the slot
#        records where the player actually equipped one)
#
# tags   namespaced item-type tags plus free-form characteristics, pipe-separated.
#        Every row has at least one `item:*` tag. The UI derives its item-type
#        row from those tags; multiple item tags are valid and retain this order.
#        The remaining characteristics are read by gameplay or presentation:
#          heavy / flourish  the swap-cost category (balance.equipment,
#                            swapCostByCategory) — a greatsword is slow to draw
#                            because it IS heavy, not because a cost was typed
#          basic             everybody's: this piece is on the shelf without
#                            being found (balance.equipment.basicTag). One plain
#                            row per kind carries it, so every class can arm
#                            itself on a fresh profile. A `basic` row that also
#                            names an `unlock` is refused by name at validation.
# geom   the Blender archetype the renderer builds (tools/equipment-blender.py)
# mods   card rewrites, pipe-separated:  strike.damage=3|strike.hits=2|self.strength=+2
#        '=' replaces, '+/-' adjusts. Empty = no card change.
# Intrinsic catalog facts are not generated-card deltas. Smithing and attribute
# projection remain separate receipts layered over these authored values.
id,name,kind,hand,rarity,geom,scale,metal,accent,attackProfile,guardProfile,techniqueProfile,mods,unlock,blurb,dropWeight,artKey,poiseThreshold,attackRating,defenseRating,weight,weaponArtManaCost,uniqueSkillStaminaCost
straightSword,Straight Sword,weapon,either,common,sword,1.00,B8B0A0,C9A227,bladeAttack,weaponGuard,weaponTechnique,,,Honest steel. It asks nothing clever of you.,10,,5,5,2,5,0,0
greatsword,Greatsword,weapon,either,uncommon,colossal,1.00,B8B0A0,C9A227,bladeAttack,weaponGuard,weaponTechnique,strike.damage=+4|strike.cost=+1|strike.poise=+3,,"Slow, and it does not care.",7,,8,9,2,8,0,0
dagger,Dagger,weapon,either,common,dagger,1.00,C0B8A6,C9A227,daggerPierceAttack,weaponGuard,weaponTechnique,strike.hits=2,,Two cuts where one would do.,10,,3,3,2,3,0,0
shortbow,Shortbow,weapon,either,common,dagger,1.00,C0B8A6,C9A227,bowPierceAttack,weaponGuard,bowTechnique,,,A compact bow represented by a generic armament silhouette in this slice.,10,dagger,2,4,2,2,0,0
katana,Katana,weapon,either,uncommon,curved,1.00,C6BEAC,C9502E,bladeAttack,weaponGuard,weaponTechnique,strike.damage=-1|strike.bleed=+2,,"A long curve, and a long grudge.",7,,5,4,2,5,0,0
halberd,Halberd,weapon,either,uncommon,polearm,1.00,A8A090,C9A227,bladeAttack,weaponGuard,weaponTechnique,strike.damage=+3|strike.cost=+1|strike.poise=+4,,Reach enough to keep the dead at arm's length.,7,,7,8,2,7,0,0
warhammer,Warhammer,weapon,either,uncommon,hammer,1.00,8E8678,C9A227,bladeAttack,weaponGuard,weaponTechnique,strike.damage=+2|strike.poise=+6,,Poise is a fiction. This is the argument.,7,,9,7,2,9,0,0
twinblade,Twinblade,weapon,either,rare,twin,1.00,C0B8A6,7FA8C9,bladeAttack,weaponGuard,weaponTechnique,strike.damage=2|strike.hits=3|self.maxStamina=+1,,Both ends are the business end.,4,,5,2,2,5,0,0
battleaxe,Battleaxe,weapon,either,common,axe,1.00,A8A090,C9502E,bladeAttack,weaponGuard,weaponTechnique,strike.damage=+3|strike.cost=+1,,It was a woodcutter's once.,10,,7,8,2,7,0,0
buckler,Buckler,shield,either,common,round,0.80,8E8678,C9A227,shieldAttack,shieldGuard,weaponTechnique,defend.block=+2,,Small enough to be quick with.,10,,4,0,5,4,0,0
